"Date","Price","Open","High","Low","Change %"
"Jan 29, 2023","2.073","2.168","2.268","2.062","-5.77%"
"Jan 22, 2023","2.200","2.061","2.235","2.030","7.06%"
"Jan 15, 2023","2.055","2.053","2.103","1.841","0.78%"
"Jan 08, 2023","2.039","2.084","2.172","1.962","-1.69%"
"Jan 01, 2023","2.074","2.452","2.469","2.063","-15.52%"
"Dec 25, 2022","2.455","2.198","2.460","2.198","12.72%"
"Dec 18, 2022","2.178","1.918","2.214","1.908","13.38%"
"Dec 11, 2022","1.921","1.659","1.939","1.591","15.44%"
"Dec 04, 2022","1.664","1.615","1.675","1.526","2.59%"
"Nov 27, 2022","1.622","1.810","1.835","1.589","-9.64%"
"Nov 20, 2022","1.795","1.927","1.977","1.693","-7.33%"
"Nov 13, 2022","1.937","2.121","2.139","1.898","-8.59%"
"Nov 06, 2022","2.119","2.234","2.313","1.947","-4.89%"
"Oct 30, 2022","2.228","2.076","2.239","2.062","7.84%"
"Oct 23, 2022","2.066","2.426","2.459","2.020","-16.02%"
"Oct 16, 2022","2.460","2.368","2.538","2.259","1.99%"
"Oct 09, 2022","2.412","2.125","2.476","2.111","12.82%"
"Oct 02, 2022","2.138","2.092","2.174","1.827","2.05%"
"Sep 25, 2022","2.095","1.872","2.250","1.872","11.61%"
"Sep 18, 2022","1.877","1.762","1.965","1.742","6.47%"
"Sep 11, 2022","1.763","1.860","1.870","1.719","-2.76%"
"Sep 04, 2022","1.813","1.643","1.851","1.630","7.53%"
"Aug 28, 2022","1.686","1.519","1.765","1.519","10.63%"
"Aug 21, 2022","1.524","1.407","1.575","1.364","7.70%"
"Aug 14, 2022","1.415","1.239","1.426","1.139","14.11%"
"Aug 07, 2022","1.240","1.157","1.289","1.074","5.80%"
"Jul 31, 2022","1.172","1.087","1.176","0.950","8.42%"
"Jul 24, 2022","1.081","1.296","1.338","1.062","-16.14%"
"Jul 17, 2022","1.289","1.357","1.521","1.254","-5.08%"
"Jul 10, 2022","1.358","1.585","1.597","1.318","-15.39%"
"Jul 03, 2022","1.605","1.600","1.666","1.445","2.88%"
"Jun 26, 2022","1.560","1.725","1.858","1.507","-7.58%"
"Jun 19, 2022","1.688","1.848","1.990","1.636","-9.20%"
"Jun 12, 2022","1.859","1.661","1.974","1.629","12.67%"
"Jun 05, 2022","1.650","1.514","1.656","1.499","8.98%"
"May 29, 2022","1.514","1.276","1.529","1.269","22.00%"
"May 22, 2022","1.241","1.113","1.291","1.103","11.80%"
"May 15, 2022","1.110","1.117","1.205","1.018","-1.60%"
"May 08, 2022","1.128","1.243","1.311","1.024","-9.18%"
"May 01, 2022","1.242","1.096","1.258","1.049","14.26%"
"Apr 24, 2022","1.087","1.070","1.099","0.937","2.45%"
"Apr 17, 2022","1.061","1.019","1.125","0.987","4.74%"
"Apr 10, 2022","1.013","0.809","1.022","0.809","23.99%"
"Apr 03, 2022","0.817","0.671","0.844","0.620","18.75%"
"Mar 27, 2022","0.688","0.700","0.821","0.633","-1.01%"
"Mar 20, 2022","0.695","0.579","0.720","0.574","23.89%"
"Mar 13, 2022","0.561","0.417","0.600","0.412","26.64%"
"Mar 06, 2022","0.443","0.153","0.483","0.105","214.18%"
"Feb 27, 2022","0.141","0.433","0.495","0.138","-70.38%"
"Feb 20, 2022","0.476","0.473","0.536","0.366","-1.24%"
"Feb 13, 2022","0.482","0.435","0.576","0.392","-2.43%"
"Feb 06, 2022","0.494","0.354","0.495","0.349","38.76%"
"Jan 30, 2022","0.356","0.241","0.381","0.231","47.11%"
"Jan 23, 2022","0.242","0.232","0.277","0.190","4.31%"
"Jan 16, 2022","0.232","0.261","0.319","0.206","-6.83%"
"Jan 09, 2022","0.249","0.279","0.306","0.184","-12.63%"
"Jan 02, 2022","0.285","0.190","0.299","0.175","42.50%"
"Dec 26, 2021","0.200","0.118","0.201","0.100","66.67%"
"Dec 19, 2021","0.120","-0.036","0.142","-0.068","-513.79%"
"Dec 12, 2021","-0.029","-0.036","0.027","-0.080","-29.27%"
"Dec 05, 2021","-0.041","-0.097","-0.015","-0.129","-52.33%"
"Nov 28, 2021","-0.086","0.019","0.048","-0.088","-605.88%"
"Nov 21, 2021","0.017","0.005","0.151","-0.024","-342.86%"
"Nov 14, 2021","-0.007","0.060","0.118","-0.016","-110.14%"
"Nov 07, 2021","0.069","0.088","0.121","0.011","-1.43%"
"Oct 31, 2021","0.070","0.135","0.193","0.065","-50.35%"
"Oct 24, 2021","0.141","0.239","0.288","0.122","-44.27%"
"Oct 17, 2021","0.253","0.282","0.307","0.222","-7.66%"
"Oct 10, 2021","0.274","0.376","0.408","0.264","-23.25%"
"Oct 03, 2021","0.357","0.282","0.364","0.274","22.26%"
"Sep 26, 2021","0.292","0.269","0.323","0.258","1.74%"
"Sep 19, 2021","0.287","0.245","0.296","0.178","18.60%"
"Sep 12, 2021","0.242","0.150","0.260","0.137","54.14%"
"Sep 05, 2021","0.157","0.142","0.186","0.119","10.56%"
"Aug 29, 2021","0.142","0.045","0.159","0.023","167.92%"
"Aug 22, 2021","0.053","-0.040","0.070","-0.053","-208.16%"
"Aug 15, 2021","-0.049","-0.022","-0.001","-0.065","188.24%"
"Aug 08, 2021","-0.017","-0.011","0.018","-0.037","-440.00%"
"Aug 01, 2021","0.005","0.022","0.040","-0.071","-78.26%"
"Jul 25, 2021","0.023","0.057","0.085","0.019","-65.67%"
"Jul 18, 2021","0.067","0.110","0.123","0.015","-49.24%"
"Jul 11, 2021","0.132","0.206","0.235","0.127","-36.54%"
"Jul 04, 2021","0.208","0.273","0.310","0.134","-24.91%"
"Jun 27, 2021","0.277","0.343","0.349","0.264","-19.94%"
"Jun 20, 2021","0.346","0.221","0.352","0.221","37.30%"
"Jun 13, 2021","0.252","0.288","0.350","0.229","-13.40%"
"Jun 06, 2021","0.291","0.349","0.373","0.273","-18.49%"
"May 30, 2021","0.357","0.396","0.417","0.345","-6.79%"
"May 23, 2021","0.383","0.414","0.441","0.341","-9.67%"
"May 16, 2021","0.424","0.428","0.497","0.407","-3.20%"
"May 09, 2021","0.438","0.357","0.472","0.345","26.22%"
"May 02, 2021","0.347","0.361","0.396","0.297","-2.80%"
"Apr 25, 2021","0.357","0.297","0.377","0.275","23.96%"
"Apr 18, 2021","0.288","0.289","0.335","0.252","-3.03%"
"Apr 11, 2021","0.297","0.239","0.306","0.213","18.33%"
