"Date","Price","Open","High","Low","Change %"
"Jan 29, 2023","2.162","2.303","2.408","2.161","-7.37%"
"Jan 22, 2023","2.334","2.278","2.373","2.177","2.77%"
"Jan 15, 2023","2.271","2.280","2.325","2.065","0.22%"
"Jan 08, 2023","2.266","2.307","2.432","2.202","-1.78%"
"Jan 01, 2023","2.307","2.655","2.677","2.293","-13.50%"
"Dec 25, 2022","2.667","2.485","2.672","2.485","8.64%"
"Dec 18, 2022","2.455","2.218","2.481","2.205","10.79%"
"Dec 11, 2022","2.216","1.971","2.245","1.907","12.37%"
"Dec 04, 2022","1.972","1.904","1.988","1.819","3.25%"
"Nov 27, 2022","1.910","2.072","2.109","1.846","-7.15%"
"Nov 20, 2022","2.057","2.150","2.198","1.924","-4.68%"
"Nov 13, 2022","2.158","2.339","2.351","2.118","-7.86%"
"Nov 06, 2022","2.342","2.435","2.527","2.150","-3.86%"
"Oct 30, 2022","2.436","2.276","2.449","2.226","7.60%"
"Oct 23, 2022","2.264","2.586","2.638","2.176","-14.44%"
"Oct 16, 2022","2.646","2.586","2.732","2.421","2.08%"
"Oct 09, 2022","2.592","2.327","2.665","2.298","10.25%"
"Oct 02, 2022","2.351","2.248","2.372","1.956","3.98%"
"Sep 25, 2022","2.261","2.097","2.449","2.097","7.62%"
"Sep 18, 2022","2.101","1.899","2.191","1.892","10.06%"
"Sep 11, 2022","1.909","1.875","1.956","1.809","1.65%"
"Sep 04, 2022","1.878","1.709","1.946","1.657","10.54%"
"Aug 28, 2022","1.699","1.557","1.783","1.554","8.84%"
"Aug 21, 2022","1.561","1.401","1.612","1.362","10.40%"
"Aug 14, 2022","1.414","1.206","1.426","1.106","17.25%"
"Aug 07, 2022","1.206","1.146","1.250","1.040","4.24%"
"Jul 31, 2022","1.157","1.048","1.160","0.921","9.05%"
"Jul 24, 2022","1.061","1.261","1.321","1.043","-16.32%"
"Jul 17, 2022","1.268","1.345","1.559","1.227","-5.79%"
"Jul 10, 2022","1.346","1.561","1.561","1.294","-14.27%"
"Jul 03, 2022","1.570","1.519","1.622","1.368","3.97%"
"Jun 26, 2022","1.510","1.737","1.896","1.449","-11.07%"
"Jun 19, 2022","1.698","1.878","2.032","1.624","-9.78%"
"Jun 12, 2022","1.882","1.674","2.061","1.640","13.44%"
"Jun 05, 2022","1.659","1.493","1.663","1.471","11.19%"
"May 29, 2022","1.492","1.214","1.506","1.214","23.00%"
"May 22, 2022","1.213","1.153","1.262","1.132","5.75%"
"May 15, 2022","1.147","1.129","1.262","1.080","0.53%"
"May 08, 2022","1.141","1.296","1.358","1.044","-12.37%"
"May 01, 2022","1.302","1.125","1.318","1.083","16.25%"
"Apr 24, 2022","1.120","0.989","1.141","0.853","12.72%"
"Apr 17, 2022","0.994","0.907","1.035","0.892","9.66%"
"Apr 10, 2022","0.906","0.739","0.919","0.739","24.36%"
"Apr 03, 2022","0.729","0.571","0.758","0.509","24.31%"
"Mar 27, 2022","0.586","0.592","0.734","0.536","0.76%"
"Mar 20, 2022","0.582","0.424","0.607","0.419","40.13%"
"Mar 13, 2022","0.415","0.288","0.465","0.271","39.06%"
"Mar 06, 2022","0.299","-0.051","0.344","-0.087","-613.77%"
"Feb 27, 2022","-0.058","0.203","0.264","-0.066","-122.05%"
"Feb 20, 2022","0.264","0.235","0.315","0.143","8.39%"
"Feb 13, 2022","0.243","0.343","0.465","0.235","-39.68%"
"Feb 06, 2022","0.403","0.295","0.404","0.280","33.89%"
"Jan 30, 2022","0.301","0.118","0.325","0.102","183.96%"
"Jan 23, 2022","0.106","0.081","0.142","0.040","24.71%"
"Jan 16, 2022","0.085","0.117","0.171","0.059","-12.37%"
"Jan 09, 2022","0.097","0.111","0.141","0.037","-19.17%"
"Jan 02, 2022","0.120","0.028","0.121","0.010","400.00%"
"Dec 26, 2021","0.024","-0.050","0.026","-0.060","-148.00%"
"Dec 19, 2021","-0.050","-0.187","-0.034","-0.216","-72.83%"
"Dec 12, 2021","-0.184","-0.171","-0.121","-0.215","5.14%"
"Dec 05, 2021","-0.175","-0.212","-0.141","-0.250","-16.67%"
"Nov 28, 2021","-0.210","-0.143","-0.100","-0.218","42.86%"
"Nov 21, 2021","-0.147","-0.165","-0.012","-0.176","-10.37%"
"Nov 14, 2021","-0.164","-0.096","-0.048","-0.172","95.24%"
"Nov 07, 2021","-0.084","-0.089","-0.053","-0.142","-13.40%"
"Oct 31, 2021","-0.097","0.024","0.068","-0.102","-423.33%"
"Oct 24, 2021","0.030","0.082","0.110","-0.030","-67.39%"
"Oct 17, 2021","0.092","0.067","0.119","0.027","84.00%"
"Oct 10, 2021","0.050","0.127","0.158","0.036","-52.38%"
"Oct 03, 2021","0.105","0.036","0.111","0.025","156.10%"
"Sep 26, 2021","0.041","0.025","0.084","0.020","7.89%"
"Sep 19, 2021","0.038","-0.022","0.049","-0.077","-371.43%"
"Sep 12, 2021","-0.014","-0.077","-0.005","-0.097","-81.08%"
"Sep 05, 2021","-0.074","-0.106","-0.049","-0.114","-26.00%"
"Aug 29, 2021","-0.100","-0.181","-0.087","-0.200","-41.86%"
"Aug 22, 2021","-0.172","-0.251","-0.155","-0.261","-34.60%"
"Aug 15, 2021","-0.263","-0.248","-0.212","-0.270","15.35%"
"Aug 08, 2021","-0.228","-0.211","-0.192","-0.242","12.87%"
"Aug 01, 2021","-0.202","-0.191","-0.173","-0.273","6.88%"
"Jul 25, 2021","-0.189","-0.168","-0.138","-0.194","21.15%"
"Jul 18, 2021","-0.156","-0.118","-0.104","-0.199","65.96%"
"Jul 11, 2021","-0.094","-0.033","-0.007","-0.098","184.85%"
"Jul 04, 2021","-0.033","0.033","0.066","-0.094","-200.00%"
"Jun 27, 2021","0.033","0.110","0.114","0.022","-70.80%"
"Jun 20, 2021","0.113","0.020","0.117","0.017","242.42%"
"Jun 13, 2021","0.033","0.034","0.106","0.018","-23.26%"
"Jun 06, 2021","0.043","0.093","0.113","0.022","-54.26%"
"May 30, 2021","0.094","0.136","0.159","0.085","-25.98%"
"May 23, 2021","0.127","0.158","0.181","0.089","-24.85%"
"May 16, 2021","0.169","0.162","0.237","0.154","-5.06%"
"May 09, 2021","0.178","0.094","0.207","0.085","109.41%"
"May 02, 2021","0.085","0.095","0.128","0.038","-8.60%"
"Apr 25, 2021","0.093","0.048","0.112","0.022","190.62%"
"Apr 18, 2021","0.032","0.025","0.074","0.001","0.00%"
"Apr 11, 2021","0.032","-0.006","0.042","-0.036","-1,700.00%"
"Apr 04, 2021","-0.002","-0.030","0.016","-0.051","-93.75%"
"Mar 28, 2021","-0.032","-0.046","0.049","-0.064","-31.91%"
"Mar 21, 2021","-0.047","0.012","0.012","-0.091","-622.22%"
"Mar 14, 2021","0.009","-0.046","0.044","-0.070","-152.94%"
"Mar 07, 2021","-0.017","-0.018","-0.009","-0.101","-50.00%"
"Feb 28, 2021","-0.034","-0.090","-0.013","-0.142","-42.37%"
"Feb 21, 2021","-0.059","-0.064","-0.007","-0.147","-41.58%"
"Feb 14, 2021","-0.101","-0.223","-0.094","-0.223","-55.11%"
"Feb 07, 2021","-0.225","-0.238","-0.214","-0.278","-11.76%"
"Jan 31, 2021","-0.255","-0.339","-0.223","-0.353","-25.66%"
"Jan 24, 2021","-0.343","-0.338","-0.311","-0.395","-0.29%"
"Jan 17, 2021","-0.344","-0.372","-0.313","-0.384","-7.53%"
"Jan 10, 2021","-0.372","-0.369","-0.295","-0.401","4.20%"
"Jan 03, 2021","-0.357","-0.378","-0.346","-0.435","-6.79%"
"Dec 27, 2020","-0.383","-0.369","-0.357","-0.400","2.68%"
"Dec 20, 2020","-0.373","-0.418","-0.356","-0.446","-4.36%"
"Dec 13, 2020","-0.390","-0.440","-0.364","-0.448","-14.85%"
"Dec 06, 2020","-0.458","-0.361","-0.356","-0.463","33.53%"
"Nov 29, 2020","-0.343","-0.394","-0.310","-0.405","-11.37%"
"Nov 22, 2020","-0.387","-0.394","-0.350","-0.401","-1.78%"
"Nov 15, 2020","-0.394","-0.358","-0.318","-0.400","12.57%"
"Nov 08, 2020","-0.350","-0.423","-0.258","-0.446","-16.86%"
"Nov 01, 2020","-0.421","-0.446","-0.410","-0.486","-3.44%"
"Oct 25, 2020","-0.436","-0.396","-0.363","-0.462","15.96%"
"Oct 18, 2020","-0.376","-0.427","-0.354","-0.441","-11.94%"
"Oct 11, 2020","-0.427","-0.340","-0.329","-0.450","27.46%"
"Oct 04, 2020","-0.335","-0.334","-0.284","-0.354","0.30%"
"Sep 27, 2020","-0.334","-0.330","-0.300","-0.358","0.91%"
"Sep 20, 2020","-0.331","-0.290","-0.278","-0.343","17.38%"
