"Date","Price","Open","High","Low","Change %"
"Jan 29, 2023","2.139","2.262","2.368","2.128","-6.70%"
"Jan 22, 2023","2.293","2.235","2.334","2.139","2.82%"
"Jan 15, 2023","2.230","2.224","2.271","2.018","1.06%"
"Jan 08, 2023","2.207","2.250","2.370","2.141","-1.57%"
"Jan 01, 2023","2.242","2.589","2.605","2.228","-13.79%"
"Dec 25, 2022","2.601","2.397","2.606","2.397","9.88%"
"Dec 18, 2022","2.367","2.120","2.394","2.106","11.68%"
"Dec 11, 2022","2.119","1.885","2.143","1.811","12.64%"
"Dec 04, 2022","1.882","1.837","1.896","1.734","2.29%"
"Nov 27, 2022","1.839","2.018","2.052","1.791","-8.08%"
"Nov 20, 2022","2.001","2.103","2.159","1.883","-5.39%"
"Nov 13, 2022","2.115","2.302","2.306","2.072","-7.60%"
"Nov 06, 2022","2.289","2.393","2.478","2.113","-4.15%"
"Oct 30, 2022","2.388","2.263","2.407","2.232","5.48%"
"Oct 23, 2022","2.264","2.609","2.646","2.199","-14.58%"
"Oct 16, 2022","2.651","2.569","2.736","2.426","2.33%"
"Oct 09, 2022","2.591","2.253","2.643","2.227","13.99%"
"Oct 02, 2022","2.273","2.173","2.287","1.896","4.07%"
"Sep 25, 2022","2.184","1.981","2.320","1.960","12.01%"
"Sep 18, 2022","1.949","1.799","2.026","1.759","9.84%"
"Sep 11, 2022","1.775","1.793","1.854","1.714","-1.17%"
"Sep 04, 2022","1.796","1.608","1.850","1.599","8.97%"
"Aug 28, 2022","1.648","1.495","1.732","1.495","9.25%"
"Aug 21, 2022","1.508","1.361","1.547","1.323","10.16%"
"Aug 14, 2022","1.369","1.178","1.389","1.082","15.67%"
"Aug 07, 2022","1.184","1.100","1.231","1.020","5.14%"
"Jul 31, 2022","1.126","1.035","1.132","0.900","8.94%"
"Jul 24, 2022","1.034","1.262","1.303","1.019","-17.51%"
"Jul 17, 2022","1.253","1.324","1.511","1.213","-5.39%"
"Jul 10, 2022","1.324","1.546","1.548","1.280","-15.04%"
"Jul 03, 2022","1.559","1.514","1.623","1.383","2.89%"
"Jun 26, 2022","1.515","1.711","1.862","1.458","-9.81%"
"Jun 19, 2022","1.680","1.833","1.983","1.618","-8.81%"
"Jun 12, 2022","1.842","1.633","1.995","1.602","13.46%"
"Jun 05, 2022","1.623","1.467","1.627","1.445","10.50%"
"May 29, 2022","1.469","1.223","1.483","1.224","23.70%"
"May 22, 2022","1.188","1.071","1.239","1.059","11.54%"
"May 15, 2022","1.065","1.061","1.168","0.986","-0.78%"
"May 08, 2022","1.073","1.213","1.265","0.968","-10.54%"
"May 01, 2022","1.200","1.029","1.217","0.992","17.84%"
"Apr 24, 2022","1.018","0.994","1.042","0.874","1.90%"
"Apr 17, 2022","0.999","0.946","1.053","0.919","6.75%"
"Apr 10, 2022","0.936","0.768","0.948","0.760","25.25%"
"Apr 03, 2022","0.747","0.590","0.775","0.536","23.57%"
"Mar 27, 2022","0.605","0.610","0.741","0.555","0.00%"
"Mar 20, 2022","0.605","0.449","0.632","0.449","34.74%"
"Mar 13, 2022","0.449","0.307","0.489","0.290","40.66%"
"Mar 06, 2022","0.319","-0.009","0.361","-0.048","-2,095.00%"
"Feb 27, 2022","-0.016","0.272","0.331","-0.020","-105.04%"
"Feb 20, 2022","0.317","0.303","0.368","0.200","3.15%"
"Feb 13, 2022","0.308","0.255","0.386","0.214","-1.38%"
"Feb 06, 2022","0.312","0.178","0.314","0.165","71.30%"
"Jan 30, 2022","0.182","0.014","0.206","0.009","1,498.25%"
"Jan 23, 2022","0.011","-0.013","0.049","-0.053","-211.76%"
"Jan 16, 2022","-0.010","0.027","0.077","-0.036","-296.15%"
"Jan 09, 2022","0.005","0.034","0.060","-0.055","-85.67%"
"Jan 02, 2022","0.036","-0.050","0.045","-0.069","-170.21%"
"Dec 26, 2021","-0.052","-0.127","-0.050","-0.137","-59.32%"
"Dec 19, 2021","-0.127","-0.293","-0.107","-0.299","-51.58%"
"Dec 12, 2021","-0.262","-0.252","-0.202","-0.293","2.94%"
"Dec 05, 2021","-0.255","-0.310","-0.227","-0.337","-16.78%"
"Nov 28, 2021","-0.306","-0.226","-0.196","-0.312","30.72%"
"Nov 21, 2021","-0.234","-0.235","-0.100","-0.261","-5.10%"
"Nov 14, 2021","-0.247","-0.172","-0.125","-0.251","47.99%"
"Nov 07, 2021","-0.167","-0.170","-0.124","-0.217","-0.48%"
"Oct 31, 2021","-0.168","-0.069","-0.020","-0.172","164.93%"
"Oct 24, 2021","-0.063","0.014","0.050","-0.101","-411.82%"
"Oct 17, 2021","0.020","0.030","0.061","-0.021","26.09%"
"Oct 10, 2021","0.016","0.100","0.134","0.005","-80.81%"
"Oct 03, 2021","0.084","0.007","0.088","-0.001","424.37%"
"Sep 26, 2021","0.016","0.004","0.050","-0.010","34.45%"
"Sep 19, 2021","0.012","-0.044","0.036","-0.102","-127.55%"
"Sep 12, 2021","-0.043","-0.111","-0.027","-0.121","-59.66%"
"Sep 05, 2021","-0.107","-0.129","-0.081","-0.142","-15.40%"
"Aug 29, 2021","-0.127","-0.213","-0.108","-0.231","-37.73%"
"Aug 22, 2021","-0.203","-0.287","-0.186","-0.297","-31.59%"
"Aug 15, 2021","-0.297","-0.285","-0.246","-0.304","12.70%"
"Aug 08, 2021","-0.264","-0.253","-0.226","-0.277","8.97%"
"Aug 01, 2021","-0.242","-0.233","-0.213","-0.312","5.95%"
"Jul 25, 2021","-0.228","-0.203","-0.172","-0.235","20.21%"
"Jul 18, 2021","-0.190","-0.147","-0.133","-0.237","50.79%"
"Jul 11, 2021","-0.126","-0.063","-0.032","-0.129","113.92%"
"Jul 04, 2021","-0.059","0.010","0.045","-0.122","-740.22%"
"Jun 27, 2021","0.009","0.089","0.090","0.003","-89.44%"
"Jun 20, 2021","0.087","-0.004","0.094","-0.008","745.63%"
"Jun 13, 2021","0.010","0.026","0.094","-0.008","-66.34%"
