"Date","Price","Open","High","Low","Change %"
"Jan 29, 2023","2.414","2.455","2.609","2.375","-3.01%"
"Jan 22, 2023","2.489","2.472","2.532","2.391","0.84%"
"Jan 15, 2023","2.469","2.474","2.507","2.313","0.20%"
"Jan 08, 2023","2.464","2.463","2.559","2.404","-0.87%"
"Jan 01, 2023","2.485","2.606","2.606","2.456","-3.79%"
"Dec 25, 2022","2.583","2.538","2.588","2.497","3.13%"
"Dec 18, 2022","2.505","2.316","2.512","2.284","8.47%"
"Dec 11, 2022","2.309","2.029","2.374","1.959","13.85%"
"Dec 04, 2022","2.028","1.979","2.050","1.866","2.53%"
"Nov 27, 2022","1.978","2.047","2.113","1.835","-4.72%"
"Nov 20, 2022","2.076","2.034","2.098","1.928","2.24%"
"Nov 13, 2022","2.031","2.125","2.130","1.967","-3.19%"
"Nov 06, 2022","2.098","2.061","2.201","1.880","1.65%"
"Oct 30, 2022","2.064","1.919","2.125","1.790","8.64%"
"Oct 23, 2022","1.900","2.026","2.084","1.718","-5.95%"
"Oct 16, 2022","2.020","1.871","2.220","1.800","5.97%"
"Oct 09, 2022","1.906","1.808","1.925","1.715","4.19%"
"Oct 02, 2022","1.829","1.734","1.928","1.407","4.93%"
"Sep 25, 2022","1.743","1.925","1.989","1.661","-5.67%"
"Sep 18, 2022","1.848","1.474","1.967","1.450","23.79%"
"Sep 11, 2022","1.493","1.276","1.567","1.218","16.92%"
"Sep 04, 2022","1.277","1.063","1.395","0.894","18.52%"
"Aug 28, 2022","1.077","0.944","1.253","0.944","17.36%"
"Aug 21, 2022","0.918","0.774","1.004","0.715","17.09%"
"Aug 14, 2022","0.784","0.500","0.817","0.411","50.65%"
"Aug 07, 2022","0.520","0.444","0.545","0.380","12.18%"
"Jul 31, 2022","0.464","0.258","0.495","0.142","67.11%"
"Jul 24, 2022","0.278","0.474","0.528","0.207","-35.47%"
"Jul 17, 2022","0.430","0.474","0.841","0.375","-12.91%"
"Jul 10, 2022","0.494","0.595","0.668","0.366","-19.88%"
"Jul 03, 2022","0.617","0.631","0.734","0.353","4.74%"
"Jun 26, 2022","0.589","0.910","1.116","0.493","-34.34%"
"Jun 19, 2022","0.897","1.203","1.281","0.821","-24.99%"
"Jun 12, 2022","1.195","1.090","1.430","0.975","15.12%"
"Jun 05, 2022","1.038","0.695","1.056","0.687","42.43%"
"May 29, 2022","0.729","0.393","0.734","0.393","82.07%"
"May 22, 2022","0.400","0.430","0.492","0.334","1.32%"
"May 15, 2022","0.395","0.294","0.511","0.271","34.51%"
"May 08, 2022","0.294","0.517","0.531","0.207","-44.77%"
"May 01, 2022","0.532","0.427","0.559","0.352","23.46%"
"Apr 24, 2022","0.431","0.449","0.445","0.245","-5.90%"
"Apr 17, 2022","0.458","0.277","0.471","0.223","80.92%"
"Apr 10, 2022","0.253","0.287","0.361","0.195","3.39%"
"Apr 03, 2022","0.245","0.132","0.249","0.033","117.60%"
"Mar 27, 2022","0.112","0.066","0.255","-0.007","253.77%"
