"Date","Price","Open","High","Low","Change %"
"Jan 29, 2023","2.076","2.255","2.352","2.069","-7.94%"
"Jan 22, 2023","2.255","2.209","2.304","2.107","2.27%"
"Jan 15, 2023","2.205","2.203","2.239","2.010","1.05%"
"Jan 08, 2023","2.182","2.238","2.354","2.116","-3.28%"
"Jan 01, 2023","2.256","2.565","2.565","2.235","-12.01%"
"Dec 25, 2022","2.564","2.484","2.574","2.470","4.65%"
"Dec 18, 2022","2.450","2.238","2.463","2.209","10.26%"
"Dec 11, 2022","2.222","1.941","2.306","1.857","14.95%"
"Dec 04, 2022","1.933","1.865","1.961","1.742","3.31%"
"Nov 27, 2022","1.871","1.964","2.067","1.736","-6.92%"
"Nov 20, 2022","2.010","1.974","2.035","1.835","1.31%"
"Nov 13, 2022","1.984","2.093","2.111","1.909","-4.89%"
"Nov 06, 2022","2.086","2.162","2.266","1.877","-3.87%"
"Oct 30, 2022","2.170","2.009","2.219","1.880","9.43%"
"Oct 23, 2022","1.983","2.132","2.232","1.809","-10.80%"
"Oct 16, 2022","2.223","2.115","2.367","1.998","4.61%"
"Oct 09, 2022","2.125","2.016","2.182","1.930","3.91%"
"Oct 02, 2022","2.045","1.955","2.073","1.578","4.34%"
"Sep 25, 2022","1.960","2.020","2.248","1.919","-3.16%"
"Sep 18, 2022","2.024","1.633","2.138","1.628","21.71%"
"Sep 11, 2022","1.663","1.536","1.727","1.468","8.06%"
"Sep 04, 2022","1.539","1.293","1.663","1.232","18.29%"
"Aug 28, 2022","1.301","1.319","1.474","1.222","11.58%"
"Aug 21, 2022","1.166","1.031","1.228","0.967","13.31%"
"Aug 14, 2022","1.029","0.751","1.052","0.661","36.65%"
"Aug 07, 2022","0.753","0.711","0.766","0.615","4.44%"
"Jul 31, 2022","0.721","0.528","0.726","0.388","39.46%"
"Jul 24, 2022","0.517","0.776","0.835","0.493","-31.25%"
"Jul 17, 2022","0.752","0.819","1.175","0.730","-9.29%"
"Jul 10, 2022","0.829","0.949","0.991","0.712","-14.62%"
"Jul 03, 2022","0.971","0.927","1.067","0.710","5.43%"
"Jun 26, 2022","0.921","1.163","1.432","0.833","-20.74%"
"Jun 19, 2022","1.162","1.463","1.576","1.072","-20.79%"
"Jun 12, 2022","1.467","1.338","1.748","1.290","11.90%"
"Jun 05, 2022","1.311","1.005","1.314","0.986","29.29%"
"May 29, 2022","1.014","0.721","1.027","0.719","53.40%"
"May 22, 2022","0.661","0.656","0.761","0.588","0.92%"
"May 15, 2022","0.655","0.590","0.804","0.578","9.53%"
"May 08, 2022","0.598","0.833","0.868","0.502","-30.55%"
"May 01, 2022","0.861","0.679","0.885","0.624","27.56%"
"Apr 24, 2022","0.675","0.753","0.753","0.494","-8.54%"
