"Date","Price","Open","High","Low","Change %"
"Jan 29, 2023","1.998","2.144","2.264","1.985","-8.20%"
"Jan 22, 2023","2.177","2.149","2.224","2.064","0.74%"
"Jan 15, 2023","2.161","2.166","2.195","1.965","1.17%"
"Jan 08, 2023","2.136","2.227","2.311","2.072","-3.65%"
"Jan 01, 2023","2.217","2.542","2.542","2.198","-12.27%"
"Dec 25, 2022","2.527","2.407","2.534","2.407","4.94%"
"Dec 18, 2022","2.408","2.178","2.420","2.165","9.60%"
"Dec 11, 2022","2.197","1.886","2.250","1.804","16.68%"
"Dec 04, 2022","1.883","1.822","1.902","1.706","3.23%"
"Nov 27, 2022","1.824","1.977","2.018","1.689","-7.27%"
"Nov 20, 2022","1.967","1.960","1.998","1.794","0.41%"
"Nov 13, 2022","1.959","2.071","2.088","1.891","-5.27%"
"Nov 06, 2022","2.068","2.141","2.240","1.870","-3.41%"
"Oct 30, 2022","2.141","1.958","2.175","1.848","10.19%"
"Oct 23, 2022","1.943","2.178","2.193","1.782","-11.32%"
"Oct 16, 2022","2.191","2.081","2.327","1.965","4.58%"
"Oct 09, 2022","2.095","2.003","2.144","1.900","3.97%"
"Oct 02, 2022","2.015","1.934","2.040","1.554","4.03%"
"Sep 25, 2022","1.937","2.057","2.214","1.893","-2.57%"
"Sep 18, 2022","1.988","1.617","2.091","1.598","21.74%"
"Sep 11, 2022","1.633","1.494","1.691","1.424","9.45%"
"Sep 04, 2022","1.492","1.290","1.613","1.230","15.30%"
"Aug 28, 2022","1.294","1.294","1.452","1.209","12.03%"
"Aug 21, 2022","1.155","0.998","1.211","0.936","15.85%"
"Aug 14, 2022","0.997","0.721","1.009","0.624","38.28%"
"Aug 07, 2022","0.721","0.687","0.738","0.581","4.19%"
"Jul 31, 2022","0.692","0.518","0.694","0.385","31.56%"
"Jul 24, 2022","0.526","0.754","0.807","0.484","-28.44%"
"Jul 17, 2022","0.735","0.824","1.138","0.704","-10.37%"
"Jul 10, 2022","0.820","0.981","0.982","0.729","-16.92%"
"Jul 03, 2022","0.987","0.944","1.074","0.734","5.45%"
"Jun 26, 2022","0.936","1.216","1.472","0.855","-23.28%"
"Jun 19, 2022","1.220","1.493","1.613","1.138","-18.83%"
"Jun 12, 2022","1.503","1.368","1.742","1.338","11.66%"
"Jun 05, 2022","1.346","1.060","1.353","1.033","27.46%"
"May 29, 2022","1.056","0.718","1.066","0.717","47.08%"
"May 22, 2022","0.718","0.708","0.810","0.646","1.13%"
"May 15, 2022","0.710","0.662","0.858","0.645","6.45%"
"May 08, 2022","0.667","0.895","0.932","0.573","-27.42%"
"May 01, 2022","0.919","0.733","0.933","0.682","25.72%"
"Apr 24, 2022","0.731","0.804","0.804","0.562","-7.70%"
"Apr 17, 2022","0.792","0.652","0.801","0.625","23.75%"
"Apr 10, 2022","0.640","0.596","0.710","0.565","13.68%"
"Apr 03, 2022","0.563","0.435","0.574","0.334","33.73%"
"Mar 27, 2022","0.421","0.401","0.575","0.362","18.26%"
"Mar 20, 2022","0.356","0.151","0.364","0.135","201.69%"
"Mar 13, 2022","0.118","0.052","0.163","0.033","202.56%"
"Mar 06, 2022","0.039","-0.336","0.083","-0.374","-110.63%"
"Feb 27, 2022","-0.367","-0.074","-0.003","-0.375","-1,629.17%"
"Feb 20, 2022","0.024","-0.034","0.075","-0.086","-220.00%"
"Feb 13, 2022","-0.020","0.082","0.086","-0.033","-124.69%"
"Feb 06, 2022","0.081","0.033","0.141","0.003","138.24%"
"Jan 30, 2022","0.034","-0.314","0.053","-0.314","-110.83%"
"Jan 23, 2022","-0.314","-0.343","-0.286","-0.400","-7.37%"
"Jan 16, 2022","-0.339","-0.302","-0.261","-0.366","3.67%"
"Jan 09, 2022","-0.327","-0.327","-0.299","-0.382","-1.51%"
"Jan 02, 2022","-0.332","-0.429","-0.318","-0.429","-22.07%"
"Dec 26, 2021","-0.426","-0.490","-0.408","-0.494","-11.62%"
"Dec 19, 2021","-0.482","-0.591","-0.471","-0.619","-18.58%"
"Dec 12, 2021","-0.592","-0.559","-0.513","-0.599","5.34%"
"Dec 05, 2021","-0.562","-0.607","-0.514","-0.623","-6.49%"
"Nov 28, 2021","-0.601","-0.593","-0.539","-0.629","-2.12%"
"Nov 21, 2021","-0.614","-0.606","-0.500","-0.619","1.49%"
"Nov 14, 2021","-0.605","-0.539","-0.490","-0.615","13.72%"
"Nov 07, 2021","-0.532","-0.551","-0.493","-0.578","-3.97%"
"Oct 31, 2021","-0.554","-0.365","-0.328","-0.564","60.58%"
"Oct 24, 2021","-0.345","-0.381","-0.324","-0.455","-8.00%"
"Oct 17, 2021","-0.375","-0.448","-0.348","-0.470","-20.89%"
"Oct 10, 2021","-0.474","-0.466","-0.405","-0.496","0.21%"
"Oct 03, 2021","-0.473","-0.531","-0.467","-0.541","-10.59%"
"Sep 26, 2021","-0.529","-0.530","-0.476","-0.547","1.15%"
"Sep 19, 2021","-0.523","-0.575","-0.514","-0.621","-8.89%"
"Sep 12, 2021","-0.574","-0.610","-0.559","-0.627","-6.06%"
"Sep 05, 2021","-0.611","-0.646","-0.589","-0.651","-4.98%"
"Aug 29, 2021","-0.643","-0.688","-0.626","-0.701","-5.99%"
"Aug 22, 2021","-0.684","-0.716","-0.660","-0.737","-6.81%"
"Aug 15, 2021","-0.734","-0.709","-0.695","-0.741","4.11%"
"Aug 08, 2021","-0.705","-0.716","-0.686","-0.729","-0.70%"
"Aug 01, 2021","-0.710","-0.721","-0.703","-0.771","-1.80%"
"Jul 25, 2021","-0.723","-0.668","-0.661","-0.726","6.79%"
"Jul 18, 2021","-0.677","-0.607","-0.605","-0.687","10.62%"
"Jul 11, 2021","-0.612","-0.558","-0.554","-0.617","6.07%"
"Jul 04, 2021","-0.577","-0.528","-0.486","-0.616","8.46%"
"Jun 27, 2021","-0.532","-0.470","-0.459","-0.540","12.24%"
"Jun 20, 2021","-0.474","-0.501","-0.464","-0.526","-8.32%"
"Jun 13, 2021","-0.517","-0.562","-0.486","-0.594","-11.77%"
"Jun 06, 2021","-0.586","-0.544","-0.530","-0.604","6.55%"
"May 30, 2021","-0.550","-0.513","-0.492","-0.554","5.57%"
"May 23, 2021","-0.521","-0.481","-0.463","-0.539","10.15%"
"May 16, 2021","-0.473","-0.472","-0.426","-0.483","1.94%"
"May 09, 2021","-0.464","-0.536","-0.444","-0.547","-15.02%"
"May 02, 2021","-0.546","-0.531","-0.496","-0.576","3.02%"
"Apr 25, 2021","-0.530","-0.559","-0.504","-0.572","-6.03%"
"Apr 18, 2021","-0.564","-0.576","-0.526","-0.587","-1.23%"
"Apr 11, 2021","-0.571","-0.599","-0.556","-0.622","-3.71%"
"Apr 04, 2021","-0.593","-0.619","-0.584","-0.640","-4.66%"
"Mar 28, 2021","-0.622","-0.645","-0.570","-0.655","-3.42%"
"Mar 21, 2021","-0.644","-0.619","-0.603","-0.670","6.62%"
"Mar 14, 2021","-0.604","-0.591","-0.562","-0.628","4.32%"
"Mar 07, 2021","-0.579","-0.569","-0.550","-0.623","0.35%"
"Feb 28, 2021","-0.577","-0.556","-0.523","-0.617","9.90%"
"Feb 21, 2021","-0.525","-0.554","-0.480","-0.616","-9.95%"
"Feb 14, 2021","-0.583","-0.664","-0.577","-0.666","-12.59%"
"Feb 07, 2021","-0.667","-0.659","-0.646","-0.705","-0.30%"
"Jan 31, 2021","-0.669","-0.729","-0.645","-0.736","-7.85%"
"Jan 24, 2021","-0.726","-0.709","-0.707","-0.765","2.11%"
"Jan 17, 2021","-0.711","-0.733","-0.684","-0.741","-3.00%"
"Jan 10, 2021","-0.733","-0.718","-0.661","-0.750","2.66%"
"Jan 03, 2021","-0.714","-0.736","-0.696","-0.770","-3.38%"
"Dec 27, 2020","-0.739","-0.715","-0.712","-0.749","3.21%"
"Dec 20, 2020","-0.716","-0.767","-0.703","-0.782","-3.89%"
"Dec 13, 2020","-0.745","-0.800","-0.726","-0.812","-8.25%"
"Dec 06, 2020","-0.812","-0.749","-0.739","-0.817","10.33%"
"Nov 29, 2020","-0.736","-0.768","-0.700","-0.772","-3.29%"
"Nov 22, 2020","-0.761","-0.763","-0.732","-0.770","-0.13%"
"Nov 15, 2020","-0.762","-0.738","-0.703","-0.766","4.10%"
"Nov 08, 2020","-0.732","-0.799","-0.668","-0.817","-8.04%"
"Nov 01, 2020","-0.796","-0.825","-0.786","-0.843","-2.21%"
"Oct 25, 2020","-0.814","-0.782","-0.751","-0.832","5.99%"
"Oct 18, 2020","-0.768","-0.803","-0.749","-0.817","-4.60%"
"Oct 11, 2020","-0.805","-0.729","-0.725","-0.813","10.12%"
"Oct 04, 2020","-0.731","-0.726","-0.682","-0.752","0.69%"
"Sep 27, 2020","-0.726","-0.668","-0.659","-0.739","1.40%"
"Sep 20, 2020","-0.716","-0.688","-0.678","-0.735","4.83%"
"Sep 13, 2020","-0.683","-0.691","-0.662","-0.710","-0.58%"
"Sep 06, 2020","-0.687","-0.678","-0.635","-0.721","-0.58%"
"Aug 30, 2020","-0.691","-0.636","-0.604","-0.714","8.82%"
"Aug 23, 2020","-0.635","-0.701","-0.605","-0.707","-9.29%"
"Aug 16, 2020","-0.700","-0.622","-0.620","-0.717","12.36%"
"Aug 09, 2020","-0.623","-0.708","-0.604","-0.734","-11.00%"
"Aug 02, 2020","-0.700","-0.726","-0.681","-0.755","-3.85%"
"Jul 26, 2020","-0.728","-0.642","-0.632","-0.751","13.04%"
"Jul 19, 2020","-0.644","-0.646","-0.609","-0.699","-1.68%"
"Jul 12, 2020","-0.655","-0.667","-0.618","-0.685","-3.25%"
"Jul 05, 2020","-0.677","-0.642","-0.635","-0.693","3.36%"
"Jun 28, 2020","-0.655","-0.692","-0.608","-0.701","-6.03%"
"Jun 21, 2020","-0.697","-0.632","-0.612","-0.697","9.94%"
"Jun 14, 2020","-0.634","-0.645","-0.589","-0.659","1.12%"
"Jun 07, 2020","-0.627","-0.518","-0.504","-0.638","21.46%"
"May 31, 2020","-0.516","-0.627","-0.497","-0.632","-18.57%"
"May 24, 2020","-0.634","-0.674","-0.577","-0.686","-5.57%"
"May 17, 2020","-0.671","-0.729","-0.631","-0.752","-6.82%"
"May 10, 2020","-0.720","-0.726","-0.674","-0.751","-2.36%"
"May 03, 2020","-0.738","-0.758","-0.683","-0.784","-3.40%"
"Apr 26, 2020","-0.764","-0.658","-0.610","-0.766","16.08%"
"Apr 19, 2020","-0.658","-0.651","-0.566","-0.671","1.83%"
"Apr 12, 2020","-0.646","-0.534","-0.522","-0.658","17.43%"
"Apr 05, 2020","-0.550","-0.586","-0.497","-0.616","-9.30%"
"Mar 29, 2020","-0.607","-0.633","-0.562","-0.701","-3.76%"
"Mar 22, 2020","-0.630","-0.516","-0.431","-0.659","22.50%"
"Mar 15, 2020","-0.515","-0.801","-0.364","-0.802","-31.98%"
"Mar 08, 2020","-0.757","-0.866","-0.738","-1.044","-13.11%"
"Mar 01, 2020","-0.871","-0.781","-0.740","-0.893","13.97%"
"Feb 23, 2020","-0.764","-0.635","-0.627","-0.782","25.68%"
"Feb 16, 2020","-0.608","-0.597","-0.584","-0.635","0.55%"
"Feb 09, 2020","-0.604","-0.582","-0.566","-0.612","2.81%"
"Feb 02, 2020","-0.588","-0.634","-0.554","-0.640","-6.70%"
"Jan 26, 2020","-0.630","-0.552","-0.540","-0.641","15.87%"
"Jan 19, 2020","-0.544","-0.461","-0.443","-0.545","18.26%"
"Jan 12, 2020","-0.460","-0.447","-0.409","-0.469","2.66%"
"Jan 05, 2020","-0.448","-0.503","-0.416","-0.516","-9.62%"
"Dec 29, 2019","-0.496","-0.467","-0.386","-0.510","5.92%"
"Dec 22, 2019","-0.468","-0.469","-0.453","-0.485","0.45%"
"Dec 15, 2019","-0.466","-0.488","-0.432","-0.514","-5.76%"
"Dec 08, 2019","-0.494","-0.502","-0.437","-0.549","-0.86%"
"Dec 01, 2019","-0.499","-0.538","-0.487","-0.585","-11.83%"
"Nov 24, 2019","-0.566","-0.566","-0.548","-0.590","-0.42%"
"Nov 17, 2019","-0.568","-0.567","-0.522","-0.594","1.30%"
"Nov 10, 2019","-0.561","-0.509","-0.483","-0.577","10.83%"
"Nov 03, 2019","-0.506","-0.591","-0.473","-0.595","-15.16%"
"Oct 27, 2019","-0.596","-0.583","-0.554","-0.621","1.05%"
"Oct 20, 2019","-0.590","-0.600","-0.574","-0.632","-2.41%"
"Oct 13, 2019","-0.605","-0.690","-0.573","-0.711","-11.23%"
"Oct 06, 2019","-0.681","-0.790","-0.658","-0.801","-13.72%"
"Sep 29, 2019","-0.789","-0.769","-0.729","-0.805","2.96%"
"Sep 22, 2019","-0.767","-0.723","-0.702","-0.786","7.27%"
"Sep 15, 2019","-0.715","-0.706","-0.683","-0.725","3.67%"
"Sep 08, 2019","-0.689","-0.874","-0.678","-0.882","-21.04%"
"Sep 01, 2019","-0.873","-0.912","-0.823","-0.955","-4.36%"
"Aug 25, 2019","-0.913","-0.899","-0.859","-0.923","3.01%"
"Aug 18, 2019","-0.886","-0.884","-0.821","-0.919","-0.66%"
"Aug 11, 2019","-0.892","-0.818","-0.816","-0.911","9.28%"
"Aug 04, 2019","-0.816","-0.753","-0.736","-0.832","11.20%"
"Jul 28, 2019","-0.734","-0.666","-0.658","-0.740","11.82%"
"Jul 21, 2019","-0.657","-0.633","-0.625","-0.712","3.09%"
"Jul 14, 2019","-0.637","-0.537","-0.536","-0.644","11.62%"
"Jul 07, 2019","-0.571","-0.650","-0.553","-0.664","-10.97%"
"Jun 30, 2019","-0.641","-0.618","-0.610","-0.680","2.22%"
"Jun 23, 2019","-0.627","-0.599","-0.577","-0.632","5.66%"
"Jun 16, 2019","-0.593","-0.563","-0.554","-0.655","4.55%"
"Jun 09, 2019","-0.568","-0.560","-0.542","-0.586","-0.37%"
"Jun 02, 2019","-0.570","-0.545","-0.506","-0.578","5.17%"
"May 26, 2019","-0.542","-0.476","-0.470","-0.558","13.85%"
"May 19, 2019","-0.476","-0.466","-0.433","-0.486","1.71%"
"May 12, 2019","-0.468","-0.427","-0.414","-0.499","11.14%"
"May 05, 2019","-0.421","-0.385","-0.362","-0.444","15.89%"
"Apr 28, 2019","-0.363","-0.390","-0.337","-0.391","-7.70%"
"Apr 21, 2019","-0.394","-0.347","-0.328","-0.400","11.35%"
"Apr 14, 2019","-0.353","-0.322","-0.293","-0.359","8.77%"
"Apr 07, 2019","-0.325","-0.373","-0.318","-0.404","-10.12%"
"Mar 31, 2019","-0.361","-0.396","-0.347","-0.412","-13.06%"
"Mar 24, 2019","-0.416","-0.363","-0.344","-0.439","15.53%"
"Mar 17, 2019","-0.360","-0.290","-0.258","-0.374","22.37%"
"Mar 10, 2019","-0.294","-0.308","-0.277","-0.323","-2.74%"
"Mar 03, 2019","-0.302","-0.205","-0.203","-0.333","39.55%"
"Feb 24, 2019","-0.217","-0.292","-0.201","-0.301","-27.60%"
"Feb 17, 2019","-0.299","-0.292","-0.253","-0.316","2.29%"
"Feb 10, 2019","-0.293","-0.306","-0.259","-0.307","-3.81%"
"Feb 03, 2019","-0.304","-0.246","-0.209","-0.315","23.31%"
"Jan 27, 2019","-0.247","-0.234","-0.203","-0.257","7.49%"
"Jan 20, 2019","-0.229","-0.190","-0.181","-0.254","24.32%"
"Jan 13, 2019","-0.185","-0.214","-0.176","-0.252","-8.88%"
"Jan 06, 2019","-0.203","-0.186","-0.149","-0.221","8.40%"
"Dec 30, 2018","-0.187","-0.161","-0.152","-0.243","14.73%"
"Dec 23, 2018","-0.163","-0.145","-0.135","-0.183","14.56%"
"Dec 16, 2018","-0.142","-0.146","-0.127","-0.184","-5.01%"
"Dec 09, 2018","-0.150","-0.171","-0.087","-0.171","-3.48%"
"Dec 02, 2018","-0.155","-0.086","-0.080","-0.186","-12.62%"
"Nov 25, 2018","-0.177","-0.132","-0.111","-0.185","26.79%"
"Nov 18, 2018","-0.140","-0.127","-0.093","-0.150","13.27%"
"Nov 11, 2018","-0.124","-0.067","-0.062","-0.145","67.03%"
"Nov 04, 2018","-0.074","-0.059","-0.021","-0.086","9.96%"
"Oct 28, 2018","-0.067","-0.111","-0.046","-0.125","-38.54%"
"Oct 21, 2018","-0.109","-0.019","0.001","-0.134","515.17%"
"Oct 14, 2018","-0.018","0.014","0.036","-0.094","-217.88%"
"Oct 07, 2018","0.015","0.085","0.094","0.001","-82.98%"
"Sep 30, 2018","0.089","0.013","0.093","-0.059","483.55%"
"Sep 23, 2018","0.015","-0.026","0.080","-0.034","-165.24%"
"Sep 16, 2018","-0.023","-0.044","0.016","-0.048","-43.72%"
"Sep 09, 2018","-0.041","-0.090","-0.021","-0.099","-53.17%"
"Sep 02, 2018","-0.088","-0.140","-0.075","-0.158","-38.70%"
"Aug 26, 2018","-0.144","-0.136","-0.072","-0.151","4.27%"
"Aug 19, 2018","-0.138","-0.189","-0.119","-0.197","-25.76%"
"Aug 12, 2018","-0.186","-0.163","-0.150","-0.206","16.73%"
"Aug 05, 2018","-0.160","-0.053","-0.053","-0.172","117.74%"
"Jul 29, 2018","-0.073","-0.078","0.005","-0.091","-10.17%"
"Jul 22, 2018","-0.082","-0.105","-0.062","-0.111","-25.68%"
"Jul 15, 2018","-0.110","-0.209","-0.103","-0.211","-47.49%"
"Jul 08, 2018","-0.209","-0.199","-0.171","-0.227","1.80%"
"Jul 01, 2018","-0.205","-0.202","-0.155","-0.225","1.43%"
"Jun 24, 2018","-0.203","-0.198","-0.138","-0.218","9.11%"
"Jun 17, 2018","-0.186","-0.121","-0.105","-0.213","65.71%"
"Jun 10, 2018","-0.112","-0.056","0.010","-0.149","37.76%"
"Jun 03, 2018","-0.081","-0.101","0.009","-0.146","-25.34%"
"May 27, 2018","-0.109","-0.075","-0.043","-0.318","7.08%"
"May 20, 2018","-0.102","0.066","0.071","-0.116","-254.32%"
"May 13, 2018","0.066","0.059","0.137","0.049","18.95%"
"May 06, 2018","0.055","0.041","0.079","0.025","31.90%"
"Apr 29, 2018","0.042","0.075","0.094","0.020","-40.85%"
"Apr 22, 2018","0.071","0.103","0.142","0.063","-14.15%"
"Apr 15, 2018","0.083","0.029","0.106","0.010","237.55%"
"Apr 08, 2018","0.024","0.013","0.058","0.008","111.21%"
"Apr 01, 2018","0.012","-0.004","0.043","-0.007","107.14%"
"Mar 25, 2018","0.006","0.045","0.066","-0.010","-86.47%"
"Mar 18, 2018","0.041","0.079","0.120","0.021","-48.64%"
"Mar 11, 2018","0.081","0.161","0.162","0.069","-43.68%"
"Mar 04, 2018","0.143","0.119","0.222","0.100","-0.83%"
"Feb 25, 2018","0.144","0.146","0.194","0.113","-7.02%"
"Feb 18, 2018","0.155","0.216","0.252","0.148","-24.07%"
"Feb 11, 2018","0.204","0.162","0.278","0.119","41.85%"
"Feb 04, 2018","0.144","0.167","0.204","0.079","-15.43%"
"Jan 28, 2018","0.170","0.112","0.179","0.099","83.82%"
"Jan 21, 2018","0.093","-0.006","0.097","-0.036","-1,816.67%"
"Jan 14, 2018","-0.005","-0.002","0.026","-0.024","200.00%"
"Jan 07, 2018","-0.002","-0.090","0.033","-0.119","-97.99%"
"Dec 31, 2017","-0.090","-0.095","-0.065","-0.112","-6.96%"
"Dec 24, 2017","-0.096","-0.092","-0.075","-0.124","-1.74%"
"Dec 17, 2017","-0.098","-0.218","-0.095","-0.222","-55.42%"
"Dec 10, 2017","-0.220","-0.245","-0.192","-0.259","-8.65%"
"Dec 03, 2017","-0.240","-0.211","-0.204","-0.271","1.56%"
"Nov 26, 2017","-0.237","-0.202","-0.154","-0.249","14.85%"
"Nov 19, 2017","-0.206","-0.242","-0.187","-0.243","-10.70%"
"Nov 12, 2017","-0.231","-0.206","-0.184","-0.245","13.98%"
"Nov 05, 2017","-0.203","-0.233","-0.199","-0.279","-12.49%"
"Oct 29, 2017","-0.231","-0.224","-0.202","-0.242","0.56%"
"Oct 22, 2017","-0.230","-0.157","-0.105","-0.233","50.69%"
"Oct 15, 2017","-0.153","-0.190","-0.147","-0.239","-22.76%"
"Oct 08, 2017","-0.198","-0.145","-0.131","-0.200","37.96%"
"Oct 01, 2017","-0.143","-0.131","-0.103","-0.198","-3.70%"
"Sep 24, 2017","-0.149","-0.151","-0.101","-0.201","0.81%"
"Sep 17, 2017","-0.148","-0.163","-0.118","-0.175","-10.92%"
"Sep 10, 2017","-0.166","-0.267","-0.147","-0.272","-40.46%"
"Sep 03, 2017","-0.278","-0.245","-0.227","-0.300","18.17%"
"Aug 27, 2017","-0.235","-0.209","-0.202","-0.273","11.51%"
"Aug 20, 2017","-0.211","-0.172","-0.162","-0.226","25.94%"
"Aug 13, 2017","-0.168","-0.188","-0.131","-0.198","-15.30%"
"Aug 06, 2017","-0.198","-0.117","-0.101","-0.207","55.91%"
"Jul 30, 2017","-0.127","-0.073","-0.046","-0.137","99.69%"
"Jul 23, 2017","-0.064","-0.072","-0.019","-0.092","-11.67%"
"Jul 16, 2017","-0.072","0.005","0.009","-0.085","-3,528.57%"
"Jul 09, 2017","0.002","0.011","0.026","-0.052","-86.54%"
"Jul 02, 2017","0.016","-0.063","0.036","-0.110","-119.07%"
"Jun 25, 2017","-0.082","-0.255","-0.059","-0.280","-67.63%"
"Jun 18, 2017","-0.253","-0.269","-0.222","-0.289","-6.30%"
"Jun 11, 2017","-0.270","-0.299","-0.216","-0.314","-8.82%"
"Jun 04, 2017","-0.296","-0.286","-0.259","-0.311","-0.67%"
"May 28, 2017","-0.298","-0.235","-0.226","-0.301","24.86%"
"May 21, 2017","-0.238","-0.194","-0.150","-0.240","23.32%"
"May 14, 2017","-0.193","-0.170","-0.128","-0.244","10.01%"
"May 07, 2017","-0.176","-0.144","-0.110","-0.185","16.04%"
"Apr 30, 2017","-0.152","-0.233","-0.142","-0.250","-36.61%"
"Apr 23, 2017","-0.239","-0.233","-0.155","-0.264","-23.69%"
"Apr 16, 2017","-0.313","-0.397","-0.303","-0.416","-19.84%"
"Apr 09, 2017","-0.391","-0.340","-0.334","-0.415","10.84%"
"Apr 02, 2017","-0.352","-0.273","-0.272","-0.380","25.58%"
"Mar 26, 2017","-0.281","-0.217","-0.177","-0.285","36.20%"
"Mar 19, 2017","-0.206","-0.206","-0.145","-0.230","1.63%"
"Mar 12, 2017","-0.203","-0.167","-0.147","-0.257","18.87%"
"Mar 05, 2017","-0.171","-0.300","-0.145","-0.343","-41.46%"
"Feb 26, 2017","-0.291","-0.468","-0.284","-0.478","-38.33%"
"Feb 19, 2017","-0.472","-0.326","-0.324","-0.482","37.88%"
"Feb 12, 2017","-0.343","-0.314","-0.276","-0.351","5.67%"
"Feb 05, 2017","-0.324","-0.209","-0.207","-0.339","48.76%"
"Jan 29, 2017","-0.218","-0.157","-0.130","-0.225","36.34%"
"Jan 22, 2017","-0.160","-0.246","-0.141","-0.270","-28.04%"
"Jan 15, 2017","-0.222","-0.304","-0.214","-0.358","-21.71%"
"Jan 08, 2017","-0.284","-0.257","-0.242","-0.317","11.12%"
"Jan 01, 2017","-0.255","-0.338","-0.244","-0.375","-23.67%"
"Dec 25, 2016","-0.335","-0.307","-0.304","-0.365","6.09%"
"Dec 18, 2016","-0.315","-0.247","-0.243","-0.315","23.59%"
"Dec 11, 2016","-0.255","-0.207","-0.177","-0.271","13.83%"
"Dec 04, 2016","-0.224","-0.249","-0.089","-0.253","-2.90%"
"Nov 27, 2016","-0.231","-0.363","-0.173","-0.384","-32.82%"
"Nov 20, 2016","-0.344","-0.287","-0.259","-0.363","21.41%"
"Nov 13, 2016","-0.283","-0.230","-0.196","-0.296","9.90%"
"Nov 06, 2016","-0.258","-0.343","-0.233","-0.417","-29.87%"
"Oct 30, 2016","-0.367","-0.335","-0.301","-0.379","13.72%"
"Oct 23, 2016","-0.323","-0.451","-0.296","-0.467","-27.85%"
"Oct 16, 2016","-0.448","-0.417","-0.391","-0.462","5.56%"
"Oct 09, 2016","-0.424","-0.448","-0.403","-0.457","-4.65%"
"Oct 02, 2016","-0.445","-0.534","-0.430","-0.547","-17.83%"
"Sep 25, 2016","-0.541","-0.513","-0.504","-0.591","5.99%"
"Sep 18, 2016","-0.511","-0.461","-0.447","-0.529","9.71%"
"Sep 11, 2016","-0.465","-0.438","-0.397","-0.487","4.16%"
"Sep 04, 2016","-0.447","-0.480","-0.435","-0.553","-5.84%"
"Aug 28, 2016","-0.475","-0.447","-0.438","-0.501","-0.67%"
"Aug 21, 2016","-0.478","-0.469","-0.464","-0.517","1.10%"
"Aug 14, 2016","-0.473","-0.519","-0.462","-0.527","-9.81%"
"Aug 07, 2016","-0.524","-0.485","-0.473","-0.541","5.79%"
"Jul 31, 2016","-0.495","-0.516","-0.446","-0.525","-5.60%"
"Jul 24, 2016","-0.525","-0.475","-0.452","-0.528","10.00%"
"Jul 17, 2016","-0.477","-0.494","-0.435","-0.521","-0.83%"
"Jul 10, 2016","-0.481","-0.564","-0.470","-0.579","-14.49%"
"Jul 03, 2016","-0.563","-0.502","-0.487","-0.569","12.19%"
"Jun 26, 2016","-0.501","-0.467","-0.452","-0.514","8.46%"
"Jun 19, 2016","-0.462","-0.384","-0.326","-0.552","14.32%"
"Jun 12, 2016","-0.404","-0.359","-0.347","-0.426","13.72%"
"Jun 05, 2016","-0.356","-0.332","-0.317","-0.363","7.50%"
"May 29, 2016","-0.331","-0.288","-0.249","-0.340","14.58%"
"May 22, 2016","-0.289","-0.264","-0.237","-0.304","11.81%"
"May 15, 2016","-0.258","-0.301","-0.240","-0.301","-11.06%"
"May 08, 2016","-0.290","-0.272","-0.271","-0.321","0.35%"
"May 01, 2016","-0.289","-0.190","-0.176","-0.292","59.57%"
"Apr 24, 2016","-0.181","-0.255","-0.163","-0.263","-24.90%"
"Apr 17, 2016","-0.241","-0.316","-0.222","-0.319","-21.39%"
"Apr 10, 2016","-0.307","-0.324","-0.269","-0.340","-5.10%"
"Apr 03, 2016","-0.324","-0.313","-0.283","-0.339","8.59%"
"Mar 27, 2016","-0.298","-0.276","-0.273","-0.316","9.36%"
"Mar 20, 2016","-0.273","-0.252","-0.239","-0.291","9.61%"
"Mar 13, 2016","-0.249","-0.227","-0.182","-0.261","11.23%"
"Mar 06, 2016","-0.223","-0.312","-0.171","-0.360","-23.35%"
"Feb 28, 2016","-0.292","-0.334","-0.290","-0.369","-10.77%"
"Feb 21, 2016","-0.327","-0.262","-0.250","-0.337","20.28%"
"Feb 14, 2016","-0.272","-0.224","-0.207","-0.295","20.59%"
"Feb 07, 2016","-0.225","-0.202","-0.194","-0.315","15.36%"
"Jan 31, 2016","-0.195","-0.199","-0.167","-0.230","-0.91%"
"Jan 24, 2016","-0.197","-0.088","-0.084","-0.201","115.41%"
"Jan 17, 2016","-0.091","-0.003","0.002","-0.112","348.53%"
"Jan 10, 2016","-0.020","0.016","0.071","-0.032","-312.50%"
"Jan 03, 2016","0.010","0.067","0.073","-0.033","-89.83%"
"Dec 27, 2015","0.094","0.086","0.112","0.052","0.75%"
"Dec 20, 2015","0.094","0.032","0.103","0.014","287.19%"
"Dec 13, 2015","0.024","0.015","0.113","0.000","210.26%"
"Dec 06, 2015","0.008","0.124","0.125","-0.008","-93.44%"
"Nov 29, 2015","0.119","-0.080","0.161","-0.107","-239.06%"
"Nov 22, 2015","-0.086","-0.079","-0.040","-0.121","4.78%"
"Nov 15, 2015","-0.082","-0.041","-0.014","-0.087","248.72%"
"Nov 08, 2015","-0.023","0.097","0.104","-0.032","-124.84%"
"Nov 01, 2015","0.094","-0.017","0.102","-0.019","-1,670.00%"
