"Date","Price","Open","High","Low","Change %"
"Jan 29, 2023","2.216","2.307","2.440","2.189","-5.46%"
"Jan 22, 2023","2.343","2.316","2.381","2.223","1.18%"
"Jan 15, 2023","2.316","2.322","2.354","2.142","0.46%"
"Jan 08, 2023","2.306","2.324","2.429","2.250","-1.38%"
"Jan 01, 2023","2.338","2.553","2.558","2.321","-8.08%"
"Dec 25, 2022","2.543","2.471","2.551","2.443","4.31%"
"Dec 18, 2022","2.438","2.219","2.443","2.198","9.75%"
"Dec 11, 2022","2.222","1.964","2.283","1.876","13.57%"
"Dec 04, 2022","1.956","1.914","1.973","1.790","2.55%"
"Nov 27, 2022","1.908","2.005","2.071","1.772","-5.65%"
"Nov 20, 2022","2.022","1.972","2.038","1.859","2.67%"
"Nov 13, 2022","1.969","2.075","2.080","1.898","-3.48%"
"Nov 06, 2022","2.040","2.061","2.184","1.828","-1.51%"
"Oct 30, 2022","2.071","1.891","2.118","1.780","10.76%"
"Oct 23, 2022","1.870","2.053","2.060","1.700","-8.60%"
"Oct 16, 2022","2.046","1.939","2.213","1.828","4.82%"
"Oct 09, 2022","1.952","1.847","1.988","1.766","4.37%"
"Oct 02, 2022","1.870","1.781","1.898","1.426","5.79%"
"Sep 25, 2022","1.768","1.939","2.032","1.711","-6.03%"
"Sep 18, 2022","1.881","1.487","1.990","1.465","23.83%"
"Sep 11, 2022","1.519","1.370","1.578","1.257","14.78%"
"Sep 04, 2022","1.324","1.092","1.448","0.987","19.92%"
"Aug 28, 2022","1.104","1.141","1.296","1.035","12.20%"
"Aug 21, 2022","0.984","0.846","1.067","0.769","14.88%"
"Aug 14, 2022","0.856","0.558","0.868","0.460","51.82%"
"Aug 07, 2022","0.564","0.475","0.573","0.401","12.77%"
"Jul 31, 2022","0.500","0.345","0.514","0.174","54.19%"
"Jul 24, 2022","0.324","0.563","0.618","0.274","-39.58%"
"Jul 17, 2022","0.537","0.585","0.943","0.486","-9.22%"
"Jul 10, 2022","0.591","0.717","0.756","0.480","-20.07%"
"Jul 03, 2022","0.740","0.745","0.849","0.483","3.25%"
"Jun 26, 2022","0.717","1.038","1.257","0.612","-29.58%"
"Jun 19, 2022","1.018","1.329","1.425","0.930","-23.00%"
"Jun 12, 2022","1.321","1.207","1.567","1.135","14.79%"
"Jun 05, 2022","1.151","0.838","1.182","0.820","36.27%"
"May 29, 2022","0.845","0.588","0.862","0.579","61.01%"
"May 22, 2022","0.525","0.548","0.625","0.456","1.18%"
"May 15, 2022","0.519","0.436","0.655","0.427","14.73%"
"May 08, 2022","0.452","0.684","0.703","0.360","-35.83%"
"May 01, 2022","0.704","0.554","0.729","0.491","26.67%"
"Apr 24, 2022","0.556","0.606","0.606","0.377","-9.55%"
"Apr 17, 2022","0.615","0.440","0.628","0.410","41.17%"
"Apr 10, 2022","0.435","0.442","0.533","0.369","8.39%"
"Apr 03, 2022","0.402","0.283","0.414","0.184","50.49%"
"Mar 27, 2022","0.267","0.227","0.409","0.184","50.08%"
"Mar 20, 2022","0.178","-0.024","0.183","-0.045","-418.82%"
"Mar 13, 2022","-0.056","-0.111","-0.014","-0.141","-53.81%"
"Mar 06, 2022","-0.121","-0.509","-0.072","-0.544","-76.92%"
"Feb 27, 2022","-0.524","-0.228","-0.149","-0.541","344.02%"
"Feb 20, 2022","-0.118","-0.180","-0.061","-0.243","-37.15%"
"Feb 13, 2022","-0.188","-0.194","-0.078","-0.216","74.67%"
"Feb 06, 2022","-0.107","-0.108","-0.054","-0.173","3.27%"
"Jan 30, 2022","-0.104","-0.475","-0.069","-0.475","-78.05%"
"Jan 23, 2022","-0.474","-0.494","-0.449","-0.549","-3.56%"
"Jan 16, 2022","-0.491","-0.443","-0.415","-0.513","5.47%"
"Jan 09, 2022","-0.466","-0.461","-0.446","-0.517","-1.44%"
"Jan 02, 2022","-0.473","-0.538","-0.453","-0.554","-15.30%"
"Dec 26, 2021","-0.558","-0.613","-0.534","-0.619","-8.16%"
"Dec 19, 2021","-0.608","-0.690","-0.596","-0.712","-11.14%"
