"Date","Price","Open","High","Low","Change %"
"Jan 29, 2023","1.974","2.124","2.243","1.972","-8.46%"
"Jan 22, 2023","2.156","2.098","2.200","2.000","2.96%"
"Jan 15, 2023","2.094","2.103","2.141","1.889","0.58%"
"Jan 08, 2023","2.082","2.168","2.271","2.023","-4.32%"
"Jan 01, 2023","2.176","2.502","2.518","2.159","-13.03%"
"Dec 25, 2022","2.502","2.392","2.510","2.392","6.15%"
"Dec 18, 2022","2.357","2.147","2.378","2.127","10.35%"
"Dec 11, 2022","2.136","1.881","2.196","1.796","14.10%"
"Dec 04, 2022","1.872","1.800","1.894","1.694","3.83%"
"Nov 27, 2022","1.803","1.898","1.999","1.691","-7.16%"
"Nov 20, 2022","1.942","1.954","2.001","1.773","-0.97%"
"Nov 13, 2022","1.961","2.099","2.102","1.889","-6.04%"
"Nov 06, 2022","2.087","2.196","2.288","1.885","-4.62%"
"Oct 30, 2022","2.188","2.006","2.229","1.909","10.34%"
"Oct 23, 2022","1.983","2.170","2.274","1.849","-12.87%"
"Oct 16, 2022","2.276","2.148","2.390","2.064","3.03%"
"Oct 09, 2022","2.209","2.052","2.270","1.995","6.51%"
"Oct 02, 2022","2.074","1.987","2.103","1.627","4.75%"
"Sep 25, 2022","1.980","1.945","2.245","1.929","1.07%"
"Sep 18, 2022","1.959","1.623","2.049","1.608","19.67%"
"Sep 11, 2022","1.637","1.538","1.699","1.471","6.44%"
"Sep 04, 2022","1.538","1.318","1.647","1.285","15.03%"
"Aug 28, 2022","1.337","1.321","1.481","1.254","11.98%"
"Aug 21, 2022","1.194","1.037","1.260","0.992","13.18%"
"Aug 14, 2022","1.055","0.791","1.065","0.689","33.04%"
"Aug 07, 2022","0.793","0.759","0.825","0.641","2.72%"
"Jul 31, 2022","0.772","0.617","0.775","0.473","22.93%"
"Jul 24, 2022","0.628","0.843","0.896","0.586","-23.97%"
"Jul 17, 2022","0.826","0.921","1.207","0.794","-10.02%"
"Jul 10, 2022","0.918","1.110","1.110","0.851","-17.52%"
"Jul 03, 2022","1.113","1.061","1.185","0.876","5.50%"
"Jun 26, 2022","1.055","1.302","1.545","0.980","-18.91%"
"Jun 19, 2022","1.301","1.548","1.681","1.215","-16.82%"
"Jun 12, 2022","1.564","1.411","1.821","1.371","11.71%"
"Jun 05, 2022","1.400","1.123","1.401","1.113","23.46%"
"May 29, 2022","1.134","0.818","1.148","0.818","38.80%"
"May 22, 2022","0.817","0.830","0.896","0.744","1.36%"
"May 15, 2022","0.806","0.798","0.963","0.771","0.37%"
"May 08, 2022","0.803","1.007","1.053","0.706","-20.57%"
"May 01, 2022","1.011","0.823","1.036","0.774","24.35%"
"Apr 24, 2022","0.813","0.858","0.858","0.640","-3.79%"
"Apr 17, 2022","0.845","0.723","0.860","0.715","16.55%"
"Apr 10, 2022","0.725","0.645","0.768","0.630","21.24%"
"Apr 03, 2022","0.598","0.480","0.627","0.364","29.72%"
"Mar 27, 2022","0.461","0.498","0.623","0.419","4.30%"
"Mar 20, 2022","0.442","0.226","0.452","0.226","99.10%"
"Mar 13, 2022","0.222","0.113","0.265","0.111","65.67%"
"Mar 06, 2022","0.134","-0.228","0.186","-0.251","-153.60%"
"Feb 27, 2022","-0.250","0.101","0.101","-0.261","-357.73%"
"Feb 20, 2022","0.097","0.068","0.154","-0.013","34.72%"
"Feb 13, 2022","0.072","0.160","0.188","0.052","-53.85%"
"Feb 06, 2022","0.156","0.079","0.183","0.061","81.40%"
"Jan 30, 2022","0.086","-0.211","0.119","-0.211","-140.57%"
"Jan 23, 2022","-0.212","-0.234","-0.163","-0.283","-9.01%"
"Jan 16, 2022","-0.233","-0.200","-0.143","-0.256","12.02%"
"Jan 09, 2022","-0.208","-0.219","-0.177","-0.276","-4.15%"
"Jan 02, 2022","-0.217","-0.304","-0.209","-0.323","-32.40%"
"Dec 26, 2021","-0.321","-0.390","-0.294","-0.391","-15.53%"
"Dec 19, 2021","-0.380","-0.518","-0.368","-0.530","-24.00%"
"Dec 12, 2021","-0.500","-0.470","-0.428","-0.519","5.26%"
"Dec 05, 2021","-0.475","-0.504","-0.428","-0.542","-6.86%"
"Nov 28, 2021","-0.510","-0.475","-0.433","-0.530","3.45%"
"Nov 21, 2021","-0.493","-0.486","-0.357","-0.508","1.86%"
"Nov 14, 2021","-0.484","-0.417","-0.363","-0.499","17.48%"
"Nov 07, 2021","-0.412","-0.419","-0.362","-0.451","-1.44%"
