"Date","Price","Open","High","Low","Change %"
"Jan 29, 2023","2.027","2.178","2.300","2.017","-8.26%"
"Jan 22, 2023","2.210","2.154","2.257","2.059","2.79%"
"Jan 15, 2023","2.150","2.161","2.194","1.953","0.66%"
"Jan 08, 2023","2.136","2.217","2.313","2.073","-3.52%"
"Jan 01, 2023","2.214","2.544","2.552","2.197","-12.73%"
"Dec 25, 2022","2.537","2.402","2.546","2.402","5.66%"
"Dec 18, 2022","2.401","2.187","2.413","2.165","10.29%"
"Dec 11, 2022","2.177","1.912","2.237","1.826","14.40%"
"Dec 04, 2022","1.903","1.880","1.924","1.745","2.48%"
"Nov 27, 2022","1.857","1.926","2.024","1.737","-5.50%"
"Nov 20, 2022","1.965","1.991","2.041","1.808","-2.00%"
"Nov 13, 2022","2.005","2.072","2.130","1.933","-3.14%"
"Nov 06, 2022","2.070","2.165","2.258","1.861","-4.48%"
"Oct 30, 2022","2.167","1.987","2.206","1.871","10.73%"
"Oct 23, 2022","1.957","2.247","2.247","1.805","-12.63%"
"Oct 16, 2022","2.240","2.167","2.366","2.024","3.61%"
"Oct 09, 2022","2.162","2.067","2.229","1.952","5.31%"
"Oct 02, 2022","2.053","1.960","2.101","1.594","5.07%"
"Sep 25, 2022","1.954","2.045","2.252","1.909","-0.76%"
"Sep 18, 2022","1.969","1.631","2.092","1.606","20.28%"
"Sep 11, 2022","1.637","1.567","1.704","1.445","8.41%"
"Sep 04, 2022","1.510","1.277","1.644","1.240","15.00%"
"Aug 28, 2022","1.313","1.307","1.477","1.232","11.46%"
"Aug 21, 2022","1.178","1.023","1.246","0.960","15.26%"
"Aug 14, 2022","1.022","0.753","1.048","0.654","35.90%"
"Aug 07, 2022","0.752","0.692","0.788","0.602","4.16%"
"Jul 31, 2022","0.722","0.588","0.731","0.423","27.56%"
"Jul 24, 2022","0.566","0.819","0.865","0.532","-27.53%"
"Jul 17, 2022","0.781","0.869","1.188","0.742","-9.92%"
"Jul 10, 2022","0.867","1.017","1.038","0.786","-16.87%"
"Jul 03, 2022","1.043","1.036","1.129","0.799","5.46%"
"Jun 26, 2022","0.989","1.301","1.502","0.912","-21.07%"
"Jun 19, 2022","1.253","1.510","1.642","1.170","-17.73%"
"Jun 12, 2022","1.523","1.388","1.796","1.351","11.41%"
"Jun 05, 2022","1.367","1.082","1.370","1.071","24.73%"
"May 29, 2022","1.096","0.827","1.107","0.809","41.97%"
"May 22, 2022","0.772","0.788","0.855","0.693","1.85%"
"May 15, 2022","0.758","0.724","0.912","0.711","3.27%"
"May 08, 2022","0.734","0.941","0.992","0.635","-24.25%"
"May 01, 2022","0.969","0.775","0.988","0.729","25.52%"
"Apr 24, 2022","0.772","0.800","0.828","0.600","-5.16%"
"Apr 17, 2022","0.814","0.689","0.825","0.662","20.59%"
"Apr 10, 2022","0.675","0.615","0.734","0.579","16.38%"
"Apr 03, 2022","0.580","0.453","0.597","0.349","30.63%"
"Mar 27, 2022","0.444","0.411","0.594","0.383","14.14%"
"Mar 20, 2022","0.389","0.192","0.399","0.170","137.20%"
"Mar 13, 2022","0.164","0.092","0.225","0.063","107.59%"
"Mar 06, 2022","0.079","-0.283","0.129","-0.326","-125.32%"
"Feb 27, 2022","-0.312","-0.037","0.060","-0.326","-647.37%"
"Feb 20, 2022","0.057","0.032","0.106","-0.057","256.25%"
"Feb 13, 2022","0.016","0.075","0.159","0.009","-88.49%"
"Feb 06, 2022","0.139","0.069","0.170","0.048","95.77%"
"Jan 30, 2022","0.071","-0.242","0.101","-0.242","-129.10%"
"Jan 23, 2022","-0.244","-0.267","-0.200","-0.321","-7.92%"
"Jan 16, 2022","-0.265","-0.255","-0.184","-0.292","2.32%"
"Jan 09, 2022","-0.259","-0.255","-0.229","-0.313","-0.77%"
"Jan 02, 2022","-0.261","-0.345","-0.250","-0.361","-26.69%"
"Dec 26, 2021","-0.356","-0.426","-0.342","-0.430","-15.04%"
"Dec 19, 2021","-0.419","-0.532","-0.407","-0.557","-20.94%"
"Dec 12, 2021","-0.530","-0.488","-0.448","-0.537","7.51%"
"Dec 05, 2021","-0.493","-0.524","-0.447","-0.553","-6.98%"
"Nov 28, 2021","-0.530","-0.507","-0.457","-0.550","2.12%"
"Nov 21, 2021","-0.519","-0.520","-0.396","-0.533","1.37%"
"Nov 14, 2021","-0.512","-0.456","-0.397","-0.527","14.54%"
"Nov 07, 2021","-0.447","-0.455","-0.399","-0.485","-3.25%"
"Oct 31, 2021","-0.462","-0.264","-0.221","-0.466","90.91%"
"Oct 24, 2021","-0.242","-0.284","-0.218","-0.355","-10.37%"
"Oct 17, 2021","-0.270","-0.337","-0.241","-0.359","-25.41%"
"Oct 10, 2021","-0.362","-0.352","-0.285","-0.388","1.12%"
"Oct 03, 2021","-0.358","-0.421","-0.349","-0.431","-14.15%"
"Sep 26, 2021","-0.417","-0.431","-0.366","-0.438","-0.71%"
"Sep 19, 2021","-0.420","-0.477","-0.405","-0.523","-9.87%"
"Sep 12, 2021","-0.466","-0.512","-0.449","-0.530","-8.81%"
"Sep 05, 2021","-0.511","-0.545","-0.484","-0.559","-5.89%"
"Aug 29, 2021","-0.543","-0.603","-0.527","-0.618","-8.74%"
"Aug 22, 2021","-0.595","-0.652","-0.572","-0.661","-10.12%"
"Aug 15, 2021","-0.662","-0.634","-0.615","-0.666","4.91%"
"Aug 08, 2021","-0.631","-0.637","-0.604","-0.653","0.16%"
"Aug 01, 2021","-0.630","-0.632","-0.614","-0.694","0.80%"
"Jul 25, 2021","-0.625","-0.590","-0.576","-0.634","7.76%"
"Jul 18, 2021","-0.580","-0.531","-0.516","-0.601","11.54%"
"Jul 11, 2021","-0.520","-0.479","-0.450","-0.525","9.01%"
"Jul 04, 2021","-0.477","-0.427","-0.386","-0.526","11.97%"
"Jun 27, 2021","-0.426","-0.351","-0.345","-0.433","21.02%"
"Jun 20, 2021","-0.352","-0.409","-0.322","-0.413","-12.66%"
"Jun 13, 2021","-0.403","-0.432","-0.352","-0.437","-5.84%"
"Jun 06, 2021","-0.428","-0.376","-0.357","-0.446","12.63%"
"May 30, 2021","-0.380","-0.352","-0.321","-0.389","6.44%"
"May 23, 2021","-0.357","-0.313","-0.290","-0.387","20.20%"
"May 16, 2021","-0.297","-0.309","-0.248","-0.321","-0.67%"
"May 09, 2021","-0.299","-0.382","-0.268","-0.385","-22.54%"
"May 02, 2021","-0.386","-0.367","-0.327","-0.423","5.46%"
"Apr 25, 2021","-0.366","-0.495","-0.339","-0.508","-26.80%"
"Apr 18, 2021","-0.500","-0.516","-0.461","-0.530","-1.38%"
"Apr 11, 2021","-0.507","-0.542","-0.493","-0.564","-4.88%"
"Apr 04, 2021","-0.533","-0.558","-0.521","-0.580","-4.99%"
"Mar 28, 2021","-0.561","-0.585","-0.504","-0.603","-2.60%"
"Mar 21, 2021","-0.576","-0.559","-0.537","-0.620","6.67%"
"Mar 14, 2021","-0.540","-0.529","-0.494","-0.569","5.06%"
"Mar 07, 2021","-0.514","-0.513","-0.492","-0.570","-1.15%"
"Feb 28, 2021","-0.520","-0.502","-0.466","-0.565","11.35%"
"Feb 21, 2021","-0.467","-0.491","-0.421","-0.563","-10.88%"
"Feb 14, 2021","-0.524","-0.605","-0.517","-0.605","-14.52%"
"Feb 07, 2021","-0.613","-0.612","-0.590","-0.656","-0.81%"
"Jan 31, 2021","-0.618","-0.687","-0.591","-0.693","-9.65%"
"Jan 24, 2021","-0.684","-0.674","-0.664","-0.725","1.79%"
"Jan 17, 2021","-0.672","-0.692","-0.643","-0.704","-3.17%"
"Jan 10, 2021","-0.694","-0.670","-0.617","-0.713","3.27%"
"Jan 03, 2021","-0.672","-0.680","-0.653","-0.728","-2.89%"
"Dec 27, 2020","-0.692","-0.665","-0.656","-0.697","4.22%"
"Dec 20, 2020","-0.664","-0.707","-0.646","-0.730","-2.64%"
"Dec 13, 2020","-0.682","-0.739","-0.665","-0.751","-9.43%"
"Dec 06, 2020","-0.753","-0.688","-0.675","-0.759","12.22%"
"Nov 29, 2020","-0.671","-0.714","-0.637","-0.720","-4.69%"
"Nov 22, 2020","-0.704","-0.709","-0.674","-0.715","0.14%"
"Nov 15, 2020","-0.703","-0.680","-0.641","-0.712","4.61%"
"Nov 08, 2020","-0.672","-0.742","-0.598","-0.765","-8.94%"
"Nov 01, 2020","-0.738","-0.763","-0.728","-0.791","-1.86%"
"Oct 25, 2020","-0.752","-0.725","-0.689","-0.772","6.67%"
"Oct 18, 2020","-0.705","-0.747","-0.686","-0.761","-5.50%"
"Oct 11, 2020","-0.746","-0.674","-0.658","-0.761","11.68%"
"Oct 04, 2020","-0.668","-0.664","-0.621","-0.680","1.21%"
"Sep 27, 2020","-0.660","-0.654","-0.628","-0.680","1.38%"
"Sep 20, 2020","-0.651","-0.621","-0.613","-0.672","5.51%"
"Sep 13, 2020","-0.617","-0.618","-0.598","-0.647","0.16%"
"Sep 06, 2020","-0.616","-0.625","-0.561","-0.665","0.16%"
"Aug 30, 2020","-0.615","-0.559","-0.524","-0.646","10.61%"
"Aug 23, 2020","-0.556","-0.638","-0.518","-0.642","-12.85%"
"Aug 16, 2020","-0.638","-0.555","-0.551","-0.652","15.16%"
"Aug 09, 2020","-0.554","-0.624","-0.520","-0.665","-12.48%"
"Aug 02, 2020","-0.633","-0.648","-0.574","-0.683","-4.52%"
"Jul 26, 2020","-0.663","-0.574","-0.565","-0.688","15.51%"
"Jul 19, 2020","-0.574","-0.578","-0.556","-0.633","-2.21%"
"Jul 12, 2020","-0.587","-0.597","-0.546","-0.620","-3.45%"
"Jul 05, 2020","-0.608","-0.582","-0.563","-0.631","4.47%"
"Jun 28, 2020","-0.582","-0.614","-0.529","-0.629","-7.03%"
"Jun 21, 2020","-0.626","-0.558","-0.533","-0.627","12.39%"
"Jun 14, 2020","-0.557","-0.551","-0.504","-0.579","1.83%"
